major_category,category_label,category_n,feature,feature_label,analysis_role,observed_count,observed_prevalence,observed_prevalence_ci_low,observed_prevalence_ci_high,null_mean_count,null_median_prevalence,null_prevalence_ci_low,null_prevalence_ci_high,observed_to_null_ratio,prevalence_difference,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,empirical_p_positive,empirical_p_negative,empirical_p_two_sided,valid_permutations,stratification,benjamini_hochberg_q
その他,Other,19084,hydrology,Water setting,screened cell,3497,0.18324,0.17782,0.18879,3945.327,0.20672,0.203,0.21039,0.88637,-0.02349,0.69744,0.66146,0.73537,1.0,0.0001,0.0001,10000,prefecture,0.000211
その他,Other,19084,mobility,Mobility,screened cell,3101,0.16249,0.15733,0.16779,3238.896,0.16972,0.16637,0.17308,0.95743,-0.00723,0.91044,0.85935,0.96457,1.0,0.0001,0.0002,10000,prefecture,0.0004
その他,Other,19084,boundary,Boundary,screened cell,3838,0.20111,0.19548,0.20686,3538.635,0.18539,0.18193,0.18895,1.0846,0.01569,1.28143,1.21083,1.35614,0.0001,1.0,0.0001,10000,prefecture,0.000211
その他,Other,19084,livelihood,Livelihood,screened cell,3612,0.18927,0.18377,0.19489,3703.974,0.19404,0.19042,0.19765,0.97517,-0.00482,0.95536,0.90431,1.00928,0.9959,0.0046,0.009699,10000,prefecture,0.014885
その他,Other,19084,dwelling,Dwelling,screened cell,4873,0.25534,0.24921,0.26158,4752.832,0.24906,0.24513,0.25299,1.02528,0.0063,1.10253,1.0483,1.15956,0.0014,0.9989,0.0023,10000,prefecture,0.003729
その他,Other,19084,death_ritual,Death ritual,screened cell,2692,0.14106,0.13619,0.14607,2830.827,0.14834,0.14515,0.15159,0.95096,-0.00727,0.89081,0.83819,0.94672,1.0,0.0001,0.0001,10000,prefecture,0.000211
その他,Other,19084,taboo_time_weather,"Taboo, time, or weather",screened cell,4061,0.2128,0.20705,0.21866,4117.028,0.21573,0.21201,0.21945,0.98639,-0.00294,0.97934,0.92898,1.03243,0.937406,0.066193,0.129287,10000,prefecture,0.153608
その他,Other,19084,actors,Actors,screened cell,5044,0.26431,0.2581,0.27061,5265.363,0.27589,0.27185,0.27997,0.95796,-0.0116,0.9062,0.86326,0.95129,1.0,0.0001,0.0001,10000,prefecture,0.000211
その他,Other,19084,actions,Actions,screened cell,2114,0.11077,0.1064,0.1153,2042.9,0.10705,0.10428,0.10983,1.0348,0.00373,1.03849,0.9686,1.11342,0.005,0.9954,0.011399,10000,prefecture,0.016681
その他,Other,19084,strict_boundary_interface,Strict interface,screened cell,2651,0.13891,0.13408,0.14389,2574.539,0.13488,0.13173,0.13807,1.0297,0.00401,1.0771,1.01064,1.14792,0.007199,0.993401,0.014399,10000,prefecture,0.020817
