drop_rate,replicate,major_category,category_label,feature,feature_label,effect_ratio,relative_to_full
0.1,1,カッパ,Kappa,hydrology,Water setting,3.3962928659156186,1.0060989026275726
0.1,1,ユウレイ,Yurei,death_ritual,Death ritual,4.653211932214012,1.0
0.1,1,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.3546761877704443,1.0127540722869992
0.1,1,カッパ,Kappa,livelihood,Livelihood,1.4789654619616954,1.0058277514190772
0.1,2,カッパ,Kappa,hydrology,Water setting,2.7766305787994128,0.8225335943103729
0.1,2,ユウレイ,Yurei,death_ritual,Death ritual,4.746931956489765,1.0201409318210788
0.1,2,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.4284661455221268,1.0679193441663966
0.1,2,カッパ,Kappa,livelihood,Livelihood,0.7899648734341377,0.5372462121545429
0.1,3,カッパ,Kappa,hydrology,Water setting,3.6709357215172718,1.087457574139204
0.1,3,ユウレイ,Yurei,death_ritual,Death ritual,4.768038596642579,1.0246768610803272
0.1,3,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.3172957185280656,0.9848084844107378
0.1,3,カッパ,Kappa,livelihood,Livelihood,1.4737030533205373,1.0022488465786872
0.1,4,カッパ,Kappa,hydrology,Water setting,3.821877346112594,1.1321716812146654
0.1,4,ユウレイ,Yurei,death_ritual,Death ritual,4.7322618847020435,1.0169882553469725
0.1,4,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.3208972107355783,0.9875009550781904
0.1,4,カッパ,Kappa,livelihood,Livelihood,1.5525004254915278,1.0558380518082358
0.1,5,カッパ,Kappa,hydrology,Water setting,3.8286376228313013,1.1341743079776305
0.1,5,ユウレイ,Yurei,death_ritual,Death ritual,4.768038596642579,1.0246768610803272
0.1,5,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.5289658844060217,1.1430528120292658
0.1,5,カッパ,Kappa,livelihood,Livelihood,1.4736961652140725,1.0022441620550688
0.1,6,カッパ,Kappa,hydrology,Water setting,3.4433808556062213,1.0200479867098375
0.1,6,ユウレイ,Yurei,death_ritual,Death ritual,4.8524465446881635,1.042816578177937
0.1,6,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.3913192390580527,1.040148367504976
0.1,6,カッパ,Kappa,livelihood,Livelihood,1.48915798353239,1.012759570529406
0.1,7,カッパ,Kappa,hydrology,Water setting,3.3757047712165367,1.0
0.1,7,ユウレイ,Yurei,death_ritual,Death ritual,4.770584474510378,1.0252239837785595
0.1,7,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.3307795727693779,0.99488899547035
0.1,7,カッパ,Kappa,livelihood,Livelihood,1.4904362235294186,1.0136288871531218
0.1,8,カッパ,Kappa,hydrology,Water setting,3.5274693020850316,1.0449578802514183
0.1,8,ユウレイ,Yurei,death_ritual,Death ritual,4.653211932214012,1.0
0.1,8,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.3968020870690767,1.0442473372078642
0.1,8,カッパ,Kappa,livelihood,Livelihood,1.5390444732000526,1.046686810224416
0.1,9,カッパ,Kappa,hydrology,Water setting,3.4433808556062213,1.0200479867098375
0.1,9,ユウレイ,Yurei,death_ritual,Death ritual,4.8524465446881635,1.042816578177937
0.1,9,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.4865243075105343,1.1113235469670897
0.1,9,カッパ,Kappa,livelihood,Livelihood,0.894373214008253,0.6082531485097473
0.1,10,カッパ,Kappa,hydrology,Water setting,3.4304296080398515,1.0162113811876958
0.1,10,ユウレイ,Yurei,death_ritual,Death ritual,4.653211932214012,1.0
0.1,10,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.0957196930128372,0.8191585496237084
0.1,10,カッパ,Kappa,livelihood,Livelihood,0.7899648734341377,0.5372462121545429
0.1,11,カッパ,Kappa,hydrology,Water setting,3.3808728401193124,1.001530959978148
0.1,11,ユウレイ,Yurei,death_ritual,Death ritual,4.7322618847020435,1.0169882553469725
0.1,11,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.34841763747162,1.0080751886106136
0.1,11,カッパ,Kappa,livelihood,Livelihood,1.5363027411840213,1.0448221891635425
0.1,12,カッパ,Kappa,hydrology,Water setting,3.4979118756786116,1.0362019527015789
0.1,12,ユウレイ,Yurei,death_ritual,Death ritual,4.770584474510378,1.0252239837785595
0.1,12,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.4204169527463648,1.0619017786139286
0.1,12,カッパ,Kappa,livelihood,Livelihood,1.5633221437214655,1.063197780479162
0.1,13,カッパ,Kappa,hydrology,Water setting,3.5383102168452942,1.048169332524348
0.1,13,ユウレイ,Yurei,death_ritual,Death ritual,4.653211932214012,1.0
0.1,13,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.6406733122155948,1.2265651328629599
0.1,13,カッパ,Kappa,livelihood,Livelihood,1.495217605163789,1.016880650944547
0.1,14,カッパ,Kappa,hydrology,Water setting,2.778845264986418,0.8231896606245509
0.1,14,ユウレイ,Yurei,death_ritual,Death ritual,4.770584474510378,1.0252239837785595
0.1,14,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.501711107005898,1.1226771775784383
0.1,14,カッパ,Kappa,livelihood,Livelihood,1.546336946759204,1.0516463393486157
0.1,15,カッパ,Kappa,hydrology,Water setting,3.6801255286477095,1.09017991147415
0.1,15,ユウレイ,Yurei,death_ritual,Death ritual,4.768038596642579,1.0246768610803272
0.1,15,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.3188051263634193,0.9859369156519425
0.1,15,カッパ,Kappa,livelihood,Livelihood,1.4916225560107474,1.0144356985106688
0.1,16,カッパ,Kappa,hydrology,Water setting,3.5274693020850316,1.0449578802514183
0.1,16,ユウレイ,Yurei,death_ritual,Death ritual,4.768038596642579,1.0246768610803272
0.1,16,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.351611630401219,1.010463013373099
0.1,16,カッパ,Kappa,livelihood,Livelihood,0.8752968308333716,0.5952795151913942
0.1,17,カッパ,Kappa,hydrology,Water setting,3.530485429332959,1.0458513610065026
0.1,17,ユウレイ,Yurei,death_ritual,Death ritual,4.653211932214012,1.0
0.1,17,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.338011535922706,1.000295601270528
0.1,17,カッパ,Kappa,livelihood,Livelihood,1.4938525027081666,1.0159522601411712
0.1,18,カッパ,Kappa,hydrology,Water setting,3.5274693020850316,1.0449578802514183
0.1,18,ユウレイ,Yurei,death_ritual,Death ritual,4.653211932214012,1.0
0.1,18,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.3324428063278235,0.9961324266125572
0.1,18,カッパ,Kappa,livelihood,Livelihood,1.630424751637657,1.1088335082703813
0.1,19,カッパ,Kappa,hydrology,Water setting,3.387671624625407,1.0035449940738028
0.1,19,ユウレイ,Yurei,death_ritual,Death ritual,4.653211932214012,1.0
0.1,19,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.3907709206180516,1.0397384453862923
0.1,19,カッパ,Kappa,livelihood,Livelihood,1.4703963575026535,1.0
0.1,20,カッパ,Kappa,hydrology,Water setting,3.450524279613208,1.0221641148937641
0.1,20,ユウレイ,Yurei,death_ritual,Death ritual,4.770584474510378,1.0252239837785595
0.1,20,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.5233702618003768,1.1388695321930895
0.1,20,カッパ,Kappa,livelihood,Livelihood,0.86470148974691,0.5880737430658043
0.1,21,カッパ,Kappa,hydrology,Water setting,3.3757047712165367,1.0
0.1,21,ユウレイ,Yurei,death_ritual,Death ritual,4.746931956489765,1.0201409318210788
0.1,21,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.3625622720717085,1.0186496981661612
0.1,21,カッパ,Kappa,livelihood,Livelihood,1.4823277894669566,1.008114432481707
0.1,22,カッパ,Kappa,hydrology,Water setting,3.736702002464217,1.1069398113027473
0.1,22,ユウレイ,Yurei,death_ritual,Death ritual,5.12818445438854,1.1020741219385068
0.1,22,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.2509158654081463,0.935182996658086
0.1,22,カッパ,Kappa,livelihood,Livelihood,0.9079006660712513,0.617453016282797
0.1,23,カッパ,Kappa,hydrology,Water setting,3.4304296080398515,1.0162113811876958
0.1,23,ユウレイ,Yurei,death_ritual,Death ritual,4.653211932214012,1.0
0.1,23,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.339295179157173,1.0012552512037047
0.1,23,カッパ,Kappa,livelihood,Livelihood,1.5505655138555634,1.054522140199715
