drop_rate,replicate,rank_correlation
0.1,1,0.98793
0.1,2,0.96654
0.1,3,0.98894
0.1,4,0.98965
0.1,5,0.94396
0.1,6,0.98631
0.1,7,0.9942
0.1,8,0.9521
0.1,9,0.92638
0.1,10,0.90479
0.1,11,0.93557
0.1,12,0.98114
0.1,13,0.93642
0.1,14,0.94208
0.1,15,0.98223
0.1,16,0.97857
0.1,17,0.93129
0.1,18,0.97114
0.1,19,0.93472
0.1,20,0.95375
0.1,21,0.9978
0.1,22,0.97335
0.1,23,0.96811
0.1,24,0.97969
0.1,25,0.98951
0.1,26,0.89028
0.1,27,0.97557
0.1,28,0.99076
0.1,29,0.98071
0.1,30,0.98062
0.1,31,0.94225
0.1,32,0.94309
0.1,33,0.98494
0.1,34,0.98719
0.1,35,0.98157
0.1,36,0.98358
0.1,37,0.9934
0.1,38,0.97969
0.1,39,0.98507
0.1,40,0.94246
0.1,41,0.99645
0.1,42,0.94808
0.1,43,0.98087
0.1,44,0.93549
0.1,45,0.98476
0.1,46,0.98504
0.1,47,0.98071
0.1,48,0.99519
0.1,49,0.94056
0.1,50,0.98088
0.1,51,0.9871
0.1,52,0.99901
0.1,53,0.92766
0.1,54,0.97597
0.1,55,0.96632
0.1,56,0.92516
0.1,57,0.9537
0.1,58,0.96803
0.1,59,0.99736
0.1,60,0.9979
0.1,61,0.94657
0.1,62,0.98817
0.1,63,0.96978
0.1,64,0.87822
0.1,65,0.92464
0.1,66,0.93133
0.1,67,0.9903
0.1,68,0.89614
0.1,69,0.95217
0.1,70,0.90945
0.1,71,0.9718
0.1,72,0.93552
0.1,73,0.9769
0.1,74,0.98851
0.1,75,0.95621
0.1,76,0.93032
0.1,77,0.99196
0.1,78,0.97835
0.1,79,0.98923
0.1,80,0.93216
0.1,81,0.91402
0.1,82,0.92439
0.1,83,0.95657
0.1,84,0.9739
0.1,85,0.97344
0.1,86,0.97723
0.1,87,0.99751
0.1,88,0.92374
0.1,89,0.98756
0.1,90,0.97677
0.1,91,0.99412
0.1,92,0.98776
0.1,93,0.97478
0.1,94,0.99315
0.1,95,0.96404
0.1,96,0.98085
0.1,97,0.96623
0.1,98,0.97635
0.1,99,0.97169
0.1,100,0.91746
0.2,1,0.97207
0.2,2,0.96502
0.2,3,0.86034
0.2,4,0.93948
0.2,5,0.9099
0.2,6,0.9565
0.2,7,0.92841
0.2,8,0.93534
0.2,9,0.89234
0.2,10,0.98501
0.2,11,0.95002
0.2,12,0.89507
0.2,13,0.96471
0.2,14,0.91398
0.2,15,0.93857
0.2,16,0.90006
0.2,17,0.96615
0.2,18,0.89213
0.2,19,0.95841
0.2,20,0.92636
0.2,21,0.96666
0.2,22,0.91495
0.2,23,0.96278
0.2,24,0.95088
0.2,25,0.9619
0.2,26,0.96257
0.2,27,0.94279
0.2,28,0.92688
0.2,29,0.93306
0.2,30,0.92964
0.2,31,0.94839
0.2,32,0.93599
0.2,33,0.91458
0.2,34,0.93555
0.2,35,0.97391
0.2,36,0.93219
0.2,37,0.98403
0.2,38,0.91785
