reported_quantity,value,source_file,json_path
configuration.seed,20260730,results.json,configuration.seed
configuration.permutations,10000,results.json,configuration.permutations
configuration.robustness_replicates,100,results.json,configuration.robustness_replicates
configuration.polygon_sample_points_per_support,128,results.json,configuration.polygon_sample_points_per_support
configuration.coast_thresholds_km[0],5.0,results.json,configuration.coast_thresholds_km[0]
configuration.coast_thresholds_km[1],10.0,results.json,configuration.coast_thresholds_km[1]
configuration.coast_thresholds_km[2],20.0,results.json,configuration.coast_thresholds_km[2]
configuration.river_thresholds_km[0],1.0,results.json,configuration.river_thresholds_km[0]
configuration.river_thresholds_km[1],2.0,results.json,configuration.river_thresholds_km[1]
configuration.river_thresholds_km[2],5.0,results.json,configuration.river_thresholds_km[2]
configuration.water_thresholds_km[0],0.25,results.json,configuration.water_thresholds_km[0]
configuration.water_thresholds_km[1],0.5,results.json,configuration.water_thresholds_km[1]
configuration.water_thresholds_km[2],1.0,results.json,configuration.water_thresholds_km[2]
archive.raw_records,35305,results.json,archive.raw_records
archive.cleaned_records,33378,results.json,archive.cleaned_records
archive.excluded_records,1927,results.json,archive.excluded_records
archive.dropped_short_summary,141,results.json,archive.dropped_short_summary
archive.dropped_other_region,1786,results.json,archive.dropped_other_region
archive.minimum_summary_characters,10,results.json,archive.minimum_summary_characters
archive.location_resolution_record_counts.prefecture,32147,results.json,archive.location_resolution_record_counts.prefecture
archive.location_resolution_record_counts.municipality,1231,results.json,archive.location_resolution_record_counts.municipality
archive.municipality_matching.matched_records,1231,results.json,archive.municipality_matching.matched_records
archive.municipality_matching.unique_matched_units,452,results.json,archive.municipality_matching.unique_matched_units
archive.municipality_matching.method_record_counts.local_gadm_admin2_ner_exact,902,results.json,archive.municipality_matching.method_record_counts.local_gadm_admin2_ner_exact
archive.municipality_matching.method_record_counts.local_gadm_admin2_summary_exact,329,results.json,archive.municipality_matching.method_record_counts.local_gadm_admin2_summary_exact
archive.municipality_matching.municipality_type_record_counts.Shi,929,results.json,archive.municipality_matching.municipality_type_record_counts.Shi
archive.municipality_matching.municipality_type_record_counts.Machi,231,results.json,archive.municipality_matching.municipality_type_record_counts.Machi
archive.municipality_matching.municipality_type_record_counts.Mura,53,results.json,archive.municipality_matching.municipality_type_record_counts.Mura
archive.municipality_matching.municipality_type_record_counts.SpecialWard,18,results.json,archive.municipality_matching.municipality_type_record_counts.SpecialWard
archive.municipality_matching.municipality_type_unit_counts.Shi,278,results.json,archive.municipality_matching.municipality_type_unit_counts.Shi
archive.municipality_matching.municipality_type_unit_counts.Machi,134,results.json,archive.municipality_matching.municipality_type_unit_counts.Machi
archive.municipality_matching.municipality_type_unit_counts.Mura,32,results.json,archive.municipality_matching.municipality_type_unit_counts.Mura
archive.municipality_matching.municipality_type_unit_counts.SpecialWard,8,results.json,archive.municipality_matching.municipality_type_unit_counts.SpecialWard
archive.source_group_audit.raw_records,35305,results.json,archive.source_group_audit.raw_records
archive.source_group_audit.joined_language_records,33378,results.json,archive.source_group_audit.joined_language_records
archive.source_group_audit.usable_source_group_records,33328,results.json,archive.source_group_audit.usable_source_group_records
archive.source_group_audit.unusable_or_missing_source_group_records,50,results.json,archive.source_group_audit.unusable_or_missing_source_group_records
evidence_channels.counts.candidate_toponym_mentions,9361,results.json,evidence_channels.counts.candidate_toponym_mentions
evidence_channels.counts.place_description_evidence,25023,results.json,evidence_channels.counts.place_description_evidence
evidence_channels.counts.human_condition_evidence,16066,results.json,evidence_channels.counts.human_condition_evidence
evidence_channels.counts.broad_human_environment_interface,9518,results.json,evidence_channels.counts.broad_human_environment_interface
evidence_channels.counts.strict_interface_evidence,9047,results.json,evidence_channels.counts.strict_interface_evidence
evidence_channels.counts.strict_boundary_interface_evidence,4513,results.json,evidence_channels.counts.strict_boundary_interface_evidence
evidence_channels.percent.candidate_toponym_mentions,28.0,results.json,evidence_channels.percent.candidate_toponym_mentions
evidence_channels.percent.place_description_evidence,75.0,results.json,evidence_channels.percent.place_description_evidence
evidence_channels.percent.human_condition_evidence,48.1,results.json,evidence_channels.percent.human_condition_evidence
evidence_channels.percent.broad_human_environment_interface,28.5,results.json,evidence_channels.percent.broad_human_environment_interface
evidence_channels.percent.strict_interface_evidence,27.1,results.json,evidence_channels.percent.strict_interface_evidence
evidence_channels.percent.strict_boundary_interface_evidence,13.5,results.json,evidence_channels.percent.strict_boundary_interface_evidence
evidence_channels.textual_landscape_counts.any_textual_landscape_mention,20242,results.json,evidence_channels.textual_landscape_counts.any_textual_landscape_mention
evidence_channels.textual_landscape_counts.text_mentions_mountain,9156,results.json,evidence_channels.textual_landscape_counts.text_mentions_mountain
evidence_channels.textual_landscape_counts.text_mentions_water,7901,results.json,evidence_channels.textual_landscape_counts.text_mentions_water
evidence_channels.textual_landscape_counts.text_mentions_coast,2661,results.json,evidence_channels.textual_landscape_counts.text_mentions_coast
evidence_channels.textual_landscape_counts.text_mentions_boundary,4761,results.json,evidence_channels.textual_landscape_counts.text_mentions_boundary
evidence_channels.textual_landscape_counts.text_mentions_agrarian,5611,results.json,evidence_channels.textual_landscape_counts.text_mentions_agrarian
evidence_channels.textual_landscape_percent.any_textual_landscape_mention,60.6,results.json,evidence_channels.textual_landscape_percent.any_textual_landscape_mention
evidence_channels.textual_landscape_percent.text_mentions_mountain,27.4,results.json,evidence_channels.textual_landscape_percent.text_mentions_mountain
evidence_channels.textual_landscape_percent.text_mentions_water,23.7,results.json,evidence_channels.textual_landscape_percent.text_mentions_water
evidence_channels.textual_landscape_percent.text_mentions_coast,8.0,results.json,evidence_channels.textual_landscape_percent.text_mentions_coast
evidence_channels.textual_landscape_percent.text_mentions_boundary,14.3,results.json,evidence_channels.textual_landscape_percent.text_mentions_boundary
evidence_channels.textual_landscape_percent.text_mentions_agrarian,16.8,results.json,evidence_channels.textual_landscape_percent.text_mentions_agrarian
evidence_channels.language_extraction_audit.records_affected,0,results.json,evidence_channels.language_extraction_audit.records_affected
evidence_channels.language_extraction_audit.occurrences_removed,0,results.json,evidence_channels.language_extraction_audit.occurrences_removed
resolution_sensitivity.polygon_summary.support_units,499,results.json,resolution_sensitivity.polygon_summary.support_units
resolution_sensitivity.polygon_summary.support_units_by_resolution.municipality,452,results.json,resolution_sensitivity.polygon_summary.support_units_by_resolution.municipality
resolution_sensitivity.polygon_summary.support_units_by_resolution.prefecture,47,results.json,resolution_sensitivity.polygon_summary.support_units_by_resolution.prefecture
resolution_sensitivity.polygon_summary.samples_per_support,128,results.json,resolution_sensitivity.polygon_summary.samples_per_support
resolution_sensitivity.polygon_summary.municipality_comparisons,452,results.json,resolution_sensitivity.polygon_summary.municipality_comparisons
resolution_sensitivity.polygon_summary.support_area_reduction_percent.n,452,results.json,resolution_sensitivity.polygon_summary.support_area_reduction_percent.n
resolution_sensitivity.polygon_summary.support_area_reduction_percent.median,97.542,results.json,resolution_sensitivity.polygon_summary.support_area_reduction_percent.median
resolution_sensitivity.polygon_summary.support_area_reduction_percent.q25,94.648,results.json,resolution_sensitivity.polygon_summary.support_area_reduction_percent.q25
resolution_sensitivity.polygon_summary.support_area_reduction_percent.q75,98.908,results.json,resolution_sensitivity.polygon_summary.support_area_reduction_percent.q75
resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_coast_km.n,452,results.json,resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_coast_km.n
resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_coast_km.median,9.195,results.json,resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_coast_km.median
resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_coast_km.q25,4.245,results.json,resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_coast_km.q25
resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_coast_km.q75,16.954,results.json,resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_coast_km.q75
resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_major_water_km.n,452,results.json,resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_major_water_km.n
resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_major_water_km.median,0.063,results.json,resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_major_water_km.median
resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_major_water_km.q25,0.027,results.json,resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_major_water_km.q25
resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_major_water_km.q75,0.11,results.json,resolution_sensitivity.polygon_summary.absolute_change_sample_median_distance_to_major_water_km.q75
archive_language.focal_associations[0].category_n,1412,results.json,archive_language.focal_associations[0].category_n
archive_language.focal_associations[0].observed_count,1101,results.json,archive_language.focal_associations[0].observed_count
archive_language.focal_associations[0].observed_prevalence,0.77975,results.json,archive_language.focal_associations[0].observed_prevalence
archive_language.focal_associations[0].observed_prevalence_ci_low,0.75739,results.json,archive_language.focal_associations[0].observed_prevalence_ci_low
archive_language.focal_associations[0].observed_prevalence_ci_high,0.80059,results.json,archive_language.focal_associations[0].observed_prevalence_ci_high
archive_language.focal_associations[0].null_mean_count,326.154,results.json,archive_language.focal_associations[0].null_mean_count
archive_language.focal_associations[0].null_median_prevalence,0.23088,results.json,archive_language.focal_associations[0].null_median_prevalence
archive_language.focal_associations[0].null_prevalence_ci_low,0.21034,results.json,archive_language.focal_associations[0].null_prevalence_ci_low
archive_language.focal_associations[0].null_prevalence_ci_high,0.25212,results.json,archive_language.focal_associations[0].null_prevalence_ci_high
archive_language.focal_associations[0].observed_to_null_ratio,3.3757,results.json,archive_language.focal_associations[0].observed_to_null_ratio
archive_language.focal_associations[0].prevalence_difference,0.54876,results.json,archive_language.focal_associations[0].prevalence_difference
archive_language.focal_associations[0].odds_ratio,15.72207,results.json,archive_language.focal_associations[0].odds_ratio
archive_language.focal_associations[0].odds_ratio_ci_low,13.8192,results.json,archive_language.focal_associations[0].odds_ratio_ci_low
archive_language.focal_associations[0].odds_ratio_ci_high,17.88697,results.json,archive_language.focal_associations[0].odds_ratio_ci_high
archive_language.focal_associations[0].empirical_p_positive,0.0001,results.json,archive_language.focal_associations[0].empirical_p_positive
archive_language.focal_associations[0].empirical_p_negative,1.0,results.json,archive_language.focal_associations[0].empirical_p_negative
archive_language.focal_associations[0].empirical_p_two_sided,0.0001,results.json,archive_language.focal_associations[0].empirical_p_two_sided
archive_language.focal_associations[0].valid_permutations,10000,results.json,archive_language.focal_associations[0].valid_permutations
archive_language.focal_associations[0].benjamini_hochberg_q,0.000211,results.json,archive_language.focal_associations[0].benjamini_hochberg_q
archive_language.focal_associations[1].category_n,1641,results.json,archive_language.focal_associations[1].category_n
archive_language.focal_associations[1].observed_count,1233,results.json,archive_language.focal_associations[1].observed_count
archive_language.focal_associations[1].observed_prevalence,0.75137,results.json,archive_language.focal_associations[1].observed_prevalence
