location_resolution,feature_family,threshold_km,support_units,median_polygon_proportion,q25_polygon_proportion,q75_polygon_proportion
prefecture,coast,5.0,47,0.17188,0.09765,0.23828
prefecture,coast,10.0,47,0.29688,0.19531,0.46093
prefecture,coast,20.0,47,0.51562,0.32422,0.72266
prefecture,river,1.0,47,0.94531,0.90234,0.96094
prefecture,river,2.0,47,0.99219,0.98438,1.0
prefecture,river,5.0,47,1.0,1.0,1.0
prefecture,water,0.25,47,0.41406,0.36328,0.44922
prefecture,water,0.5,47,0.69531,0.61719,0.75
prefecture,water,1.0,47,0.94531,0.90234,0.96094
municipality,coast,5.0,452,0.0,0.0,0.38281
municipality,coast,10.0,452,0.03125,0.0,0.8125
municipality,coast,20.0,452,0.57812,0.0,1.0
municipality,river,1.0,452,0.94531,0.875,0.98438
municipality,river,2.0,452,1.0,0.99219,1.0
municipality,river,5.0,452,1.0,1.0,1.0
municipality,water,0.25,452,0.39062,0.32812,0.46875
municipality,water,0.5,452,0.6875,0.59375,0.76562
municipality,water,1.0,452,0.94531,0.875,0.98438
