prefecture,admin2,n,admin2_type,admin2_area_km2,admin2_coastline_km,admin2_coastline_km_per_1000km2,admin2_river_km,admin2_river_km_per_1000km2,admin2_lake_area_km2,admin2_lake_area_pct,river_source,lake_source,coastline_source
宮城県,仙台市,33,Shi,788.112,0.0,0.0,686.398,870.9397,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
京都府,京都市,30,Shi,846.65,0.0,0.0,1127.01,1331.1404,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
沖縄県,沖縄市,23,Shi,49.45,2.991,60.4853,27.859,563.3771,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
三重県,伊勢市,21,Shi,209.627,13.977,66.6756,201.023,958.9557,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
新潟県,佐渡市,20,Shi,858.519,76.261,88.8286,674.184,785.2872,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
神奈川県,横浜市,19,Shi,422.387,8.885,21.0352,328.752,778.3194,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
大阪府,大阪市,18,Shi,223.313,3.955,17.7106,157.133,703.6447,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
長野県,諏訪市,16,Shi,110.572,0.0,0.0,113.867,1029.7996,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
三重県,志摩市,16,Shi,188.662,23.202,122.9818,142.244,753.9621,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
愛媛県,松山市,15,Shi,446.601,19.906,44.5722,395.028,884.5211,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
青森県,八戸市,12,Shi,311.574,7.943,25.4931,151.661,486.7576,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
静岡県,大井川町,11,Machi,20.461,0.9,43.9861,35.267,1723.6205,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
静岡県,静岡市,11,Shi,1357.756,20.185,14.8664,1333.476,982.1176,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
秋田県,秋田市,11,Shi,970.149,7.355,7.5813,814.339,839.3958,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
