id,major_category,label,prefecture,admin2,prefecture_coordinate_terrain,admin2_coordinate_terrain,terrain_changed,distortion_type,prefecture_coordinate_dist_water_km,admin2_dist_water_km,delta_water_km,prefecture_coordinate_dist_coast_km,admin2_dist_coast_km,delta_coast_km,support_area_reduction_ratio,place_description_categories,strict_interface_types
0640005,その他,Other,新潟県,佐渡市,coastal,coastal,False,same_class,0.334,0.31,-0.024,2.178,7.982,5.804,0.93231,mobility,mountain_route
0640037,テング,Tengu,静岡県,川根町,coastal,inland_water,True,coastal_to_inland_water,1.85,0.098,-1.752,5.119,21.062,15.943,0.98423,boundary;hydrology;taboo_time_weather,waterside_boundary;water_danger_norm;mountain_boundary
0640047_003,カッパ,Kappa,熊本県,天草市,plain,coastal,True,plain_to_coastal,0.698,0.256,-0.442,12.221,6.277,-5.944,0.89333,hydrology,
0640047_004,カッパ,Kappa,長崎県,対馬市,coastal,coastal,False,same_class,0.115,0.007,-0.108,2.658,1.425,-1.233,0.82543,hydrology;livelihood;taboo_time_weather,water_danger_norm;water_livelihood
0640053_001,イヌガミ,Inugami,徳島県,阿波市,coastal,inland_water,True,coastal_to_inland_water,0.087,0.035,-0.052,3.822,15.139,11.317,0.9524,,
0640065,タヌキ,Tanuki,新潟県,佐渡市,coastal,coastal,False,same_class,0.334,0.31,-0.024,2.178,7.982,5.804,0.93231,mobility,mountain_route
0640071_002,その他,Other,長野県,松本市,valley,valley,False,same_class,0.121,0.7,0.579,51.74,72.63,20.89,0.93045,boundary;hydrology;livelihood;mobility;taboo_time_weather,water_crossing;waterside_boundary;water_danger_norm;mountain_route;mountain_boundary;water_livelihood
0640084,タヌキ,Tanuki,愛媛県,松山市,coastal,coastal,False,same_class,0.717,0.72,0.003,6.315,7.285,0.97,0.92332,,
0640129_005,キツネ,Kitsune,愛知県,豊川市,plain,coastal,True,plain_to_coastal,1.099,0.544,-0.555,10.163,9.093,-1.07,0.98027,hydrology;livelihood,water_livelihood
0640162,その他,Other,徳島県,阿波市,coastal,inland_water,True,coastal_to_inland_water,0.087,0.035,-0.052,3.822,15.139,11.317,0.9524,hydrology,
0640174,その他,Other,愛媛県,松山市,coastal,coastal,False,same_class,0.717,0.72,0.003,6.315,7.285,0.97,0.92332,boundary;death_ritual;dwelling;hydrology,waterside_boundary;mountain_boundary;domestic_threshold;mortuary_boundary
0640175,その他,Other,愛媛県,松山市,coastal,coastal,False,same_class,0.717,0.72,0.003,6.315,7.285,0.97,0.92332,death_ritual;hydrology;taboo_time_weather,water_danger_norm
0640203,その他,Other,栃木県,足利市,valley,valley,False,same_class,0.346,0.79,0.444,66.5,83.266,16.766,0.97244,hydrology,
0640238,その他,Other,新潟県,佐渡市,coastal,coastal,False,same_class,0.334,0.31,-0.024,2.178,7.982,5.804,0.93231,livelihood;mobility,coastal_landing
0640310,タヌキ,Tanuki,新潟県,佐渡市,coastal,coastal,False,same_class,0.334,0.31,-0.024,2.178,7.982,5.804,0.93231,mobility,mountain_route
1490016,その他,Other,和歌山県,和歌山市,coastal,coastal,False,same_class,0.708,0.01,-0.698,2.822,8.731,5.909,0.95481,dwelling;hydrology,
2400001,その他,Other,島根県,出雲市,coastal,coastal,False,same_class,0.07,0.125,0.055,8.304,7.158,-1.146,0.91995,livelihood;taboo_time_weather,
0690212,テング,Tengu,静岡県,大井川町,coastal,coastal,False,same_class,1.85,0.214,-1.636,5.119,1.979,-3.14,0.99732,hydrology;taboo_time_weather,water_danger_norm
0690035,その他,Other,京都府,京都市,inland_water,inland_water,False,same_class,0.322,0.213,-0.109,48.255,40.922,-7.333,0.81776,dwelling;taboo_time_weather,
0690040,ヘビ・リュウ,Snake/Dragon,和歌山県,日高川町,coastal,inland_water,True,coastal_to_inland_water,0.708,0.41,-0.298,2.822,20.029,17.207,0.92839,boundary;hydrology;mobility,water_crossing;waterside_boundary;mountain_route;mountain_boundary
0690064,その他,Other,京都府,京都市,inland_water,inland_water,False,same_class,0.322,0.213,-0.109,48.255,40.922,-7.333,0.81776,hydrology;mobility,water_crossing;coastal_landing
0690071,その他,Other,鹿児島県,阿久根市,coastal,coastal,False,same_class,0.913,0.238,-0.675,0.301,3.142,2.841,0.98343,hydrology;livelihood;mobility,water_crossing;mountain_route;water_livelihood
1300007,その他,Other,長崎県,島原市,coastal,coastal,False,same_class,0.115,0.506,0.391,2.658,3.739,1.081,0.97844,mobility,mountain_route;coastal_landing
1300009,その他,Other,長崎県,島原市,coastal,coastal,False,same_class,0.115,0.506,0.391,2.658,3.739,1.081,0.97844,hydrology;mobility,water_crossing;mountain_route;coastal_landing
1300010,その他,Other,長崎県,島原市,coastal,coastal,False,same_class,0.115,0.506,0.391,2.658,3.739,1.081,0.97844,mobility,coastal_landing
1300012,その他,Other,長崎県,島原市,coastal,coastal,False,same_class,0.115,0.506,0.391,2.658,3.739,1.081,0.97844,mobility;taboo_time_weather,mountain_route;coastal_landing
2400016,その他,Other,鹿児島県,鹿児島市,coastal,coastal,False,water_proximity_lost,0.913,3.684,2.771,0.301,3.671,3.37,0.94441,taboo_time_weather,
0690223_001,その他,Other,茨城県,茨城町,plain,plain,False,same_class,1.062,0.915,-0.147,12.361,14.174,1.813,0.98185,,
0690231,その他,Other,香川県,高松市,coastal,inland_water,True,coastal_to_inland_water,0.779,0.202,-0.577,1.632,10.573,8.941,0.77596,,
1300043,オニ,Oni,徳島県,徳島市,coastal,coastal,False,same_class,0.087,0.162,0.075,3.822,7.566,3.744,0.95468,,
1300083,その他,Other,大阪府,大阪市,coastal,coastal,False,same_class,0.559,0.029,-0.53,9.858,9.231,-0.627,0.88369,boundary;mobility,
1300110,その他,Other,静岡県,大井川町,coastal,coastal,False,same_class,1.85,0.214,-1.636,5.119,1.979,-3.14,0.99732,boundary;dwelling;hydrology;livelihood,waterside_boundary;domestic_threshold;water_livelihood
2400021,カッパ,Kappa,福岡県,柳川市,coastal,coastal,False,same_class,0.833,0.128,-0.705,2.057,4.499,2.442,0.98631,boundary;death_ritual;hydrology,waterside_boundary;mortuary_boundary
2400028,カッパ,Kappa,山口県,防府市,inland_water,coastal,True,inland_water_to_coastal,0.192,0.302,0.11,17.248,5.787,-11.461,0.96997,boundary;hydrology,waterside_boundary
2400041,キツネ,Kitsune,岡山県,美作市,coastal,inland_water,True,coastal_to_inland_water,0.159,0.411,0.252,7.431,34.84,27.409,0.94136,dwelling,
2400043,ユウレイ,Yurei,福岡県,豊前市,coastal,coastal,False,same_class,0.833,0.497,-0.336,2.057,6.557,4.5,0.97749,death_ritual,
2400047,キツネ,Kitsune,大阪府,大阪市,coastal,coastal,False,same_class,0.559,0.029,-0.53,9.858,9.231,-0.627,0.88369,livelihood,
2400053,その他,Other,大阪府,大阪市,coastal,coastal,False,same_class,0.559,0.029,-0.53,9.858,9.231,-0.627,0.88369,livelihood,
2400074,キツネ,Kitsune,島根県,出雲市,coastal,coastal,False,same_class,0.07,0.125,0.055,8.304,7.158,-1.146,0.91995,livelihood,
2400075,キツネ,Kitsune,島根県,出雲市,coastal,coastal,False,same_class,0.07,0.125,0.055,8.304,7.158,-1.146,0.91995,dwelling,
2400084,キツネ,Kitsune,島根県,江津市,coastal,coastal,False,same_class,0.07,0.36,0.29,8.304,6.541,-1.763,0.95814,boundary;dwelling,domestic_threshold
2400113,タヌキ,Tanuki,徳島県,小松島市,coastal,coastal,False,same_class,0.087,0.005,-0.082,3.822,2.333,-1.489,0.98906,boundary;livelihood,mountain_boundary
2400114,キツネ,Kitsune,兵庫県,淡路市,coastal,coastal,False,same_class,0.266,0.359,0.093,1.854,3.831,1.977,0.97761,boundary;livelihood;mobility,
2400122,その他,Other,徳島県,阿波市,coastal,inland_water,True,coastal_to_inland_water,0.087,0.035,-0.052,3.822,15.139,11.317,0.9524,dwelling;mobility,
2400125,その他,Other,佐賀県,鹿島市,coastal,coastal,False,same_class,0.052,0.414,0.362,8.731,4.86,-3.871,0.95467,dwelling;taboo_time_weather,
2400145,その他,Other,徳島県,阿波市,coastal,inland_water,True,coastal_to_inland_water,0.087,0.035,-0.052,3.822,15.139,11.317,0.9524,death_ritual;dwelling;taboo_time_weather,
2400149,オニ,Oni,愛知県,豊橋市,plain,coastal,True,plain_to_coastal,1.099,0.106,-0.993,10.163,6.045,-4.118,0.94967,boundary;hydrology;mobility,water_crossing;waterside_boundary
0690162,カッパ,Kappa,京都府,木津川市,inland_water,plain,True,inland_water_to_plain,0.322,0.514,0.192,48.255,40.827,-7.428,0.98162,hydrology,
1550025,その他,Other,鳥取県,鳥取市,coastal,plain,True,coastal_to_plain,0.551,0.61,0.059,4.715,12.789,8.074,0.77904,,
1550026,その他,Other,鳥取県,鳥取市,coastal,plain,True,coastal_to_plain,0.551,0.61,0.059,4.715,12.789,8.074,0.77904,death_ritual,
1550027,その他,Other,鳥取県,鳥取市,coastal,plain,True,coastal_to_plain,0.551,0.61,0.059,4.715,12.789,8.074,0.77904,dwelling;hydrology,
0690258,ユウレイ,Yurei,静岡県,静岡市,coastal,inland_water,True,coastal_to_inland_water,1.85,0.369,-1.481,5.119,33.099,27.98,0.82235,death_ritual,
0690170,その他,Other,奈良県,吉野町,inland_water,inland_water,False,same_class,0.312,0.382,0.07,38.579,45.655,7.076,0.97349,mobility,
2240237,その他,Other,兵庫県,伊丹市,coastal,inland_water,True,coastal_to_inland_water,0.266,0.451,0.185,1.854,10.511,8.657,0.99623,boundary,
2240243,その他,Other,兵庫県,神戸市,coastal,inland_water,True,coastal_to_inland_water,0.266,0.262,-0.004,1.854,11.162,9.308,0.9333,boundary;dwelling;livelihood,domestic_threshold
2240244,その他,Other,兵庫県,明石,coastal,coastal,False,same_class,0.266,0.369,0.103,1.854,1.005,-0.849,0.99378,boundary,
2240256,その他,Other,三重県,伊勢市,coastal,coastal,False,same_class,0.512,0.194,-0.318,1.843,5.295,3.452,0.96382,hydrology,
2240264,その他,Other,東京都,八王子市,coastal,inland_water,True,coastal_to_inland_water,0.759,0.052,-0.707,7.763,39.165,31.402,0.91297,boundary,
2240268,その他,Other,石川県,白山市,coastal,plain,True,coastal_to_plain,0.585,0.904,0.319,3.456,25.218,21.762,0.82028,mobility,mountain_route
2240275,その他,Other,愛知県,甚目寺町,plain,plain,False,same_class,1.099,0.537,-0.562,10.163,11.849,1.686,0.99763,boundary,
2240277,その他,Other,千葉県,印旛村,coastal,inland_water,True,coastal_to_inland_water,0.071,0.024,-0.047,3.934,20.955,17.021,0.99065,boundary;death_ritual,mortuary_boundary
