category,category_n,metric,observed,expected,z_score,empirical_p
カッパ,48,median_dist_water_km,0.371,0.29608,-1.51605,0.93103
カッパ,48,mean_dist_water_km,0.35806,0.39116,0.29086,0.42029
カッパ,48,share_within_2km,1.0,0.99064,0.78294,0.58971
カッパ,48,share_within_0_5km,0.72917,0.73313,-0.0768,0.61769
ヘビ・リュウ,80,median_dist_water_km,0.2425,0.25871,0.61486,0.42979
ヘビ・リュウ,80,mean_dist_water_km,0.32877,0.45407,0.93304,0.06297
ヘビ・リュウ,80,share_within_2km,0.9875,0.97818,0.70879,0.42279
ヘビ・リュウ,80,share_within_0_5km,0.8,0.74458,1.3279,0.12694
ユウレイ,56,median_dist_water_km,0.3535,0.28494,-1.5348,0.89755
ユウレイ,56,mean_dist_water_km,0.52521,0.44137,-0.61463,0.90655
ユウレイ,56,share_within_2km,0.96429,0.98296,-1.23662,0.95802
ユウレイ,56,share_within_0_5km,0.71429,0.71702,-0.05114,0.58421
キツネ,108,median_dist_water_km,0.221,0.26835,1.72892,0.04198
キツネ,108,mean_dist_water_km,0.36499,0.38483,0.37647,0.35682
キツネ,108,share_within_2km,1.0,0.9987,0.3906,0.86407
キツネ,108,share_within_0_5km,0.66667,0.69986,-0.88884,0.84658
テング,46,median_dist_water_km,0.216,0.27357,1.15535,0.07446
テング,46,mean_dist_water_km,0.29587,0.35673,1.44431,0.06847
テング,46,share_within_2km,1.0,0.99645,0.42379,0.84258
テング,46,share_within_0_5km,0.80435,0.75845,0.82039,0.27986
