category,category_n,metric,observed,expected,z_score,empirical_p
カッパ,48,median_dist_water_km,0.371,0.29494,-1.52186,0.93591
カッパ,48,mean_dist_water_km,0.35806,0.38961,0.2815,0.41976
カッパ,48,share_within_2km,1.0,0.99059,0.79491,0.58494
カッパ,48,share_within_0_5km,0.72917,0.73487,-0.11018,0.62214
ヘビ・リュウ,80,median_dist_water_km,0.2425,0.25832,0.5981,0.43866
ヘビ・リュウ,80,mean_dist_water_km,0.32877,0.45613,0.93325,0.05929
ヘビ・リュウ,80,share_within_2km,0.9875,0.97825,0.70288,0.43376
ヘビ・リュウ,80,share_within_0_5km,0.8,0.74415,1.35228,0.11479
ユウレイ,56,median_dist_water_km,0.3535,0.28432,-1.54326,0.89561
ユウレイ,56,mean_dist_water_km,0.52521,0.43908,-0.65505,0.91001
ユウレイ,56,share_within_2km,0.96429,0.98307,-1.27252,0.9604
ユウレイ,56,share_within_0_5km,0.71429,0.71611,-0.03444,0.58404
キツネ,108,median_dist_water_km,0.221,0.26836,1.76883,0.0412
キツネ,108,mean_dist_water_km,0.36499,0.38517,0.38432,0.35306
キツネ,108,share_within_2km,1.0,0.99867,0.39133,0.86241
キツネ,108,share_within_0_5km,0.66667,0.69936,-0.89914,0.84902
テング,46,median_dist_water_km,0.216,0.27389,1.16049,0.06809
テング,46,mean_dist_water_km,0.29587,0.35705,1.43493,0.06519
テング,46,share_within_2km,1.0,0.9967,0.40464,0.85411
テング,46,share_within_0_5km,0.80435,0.75783,0.83903,0.26477
