major_category,label,n,admin2_unit_count,admin2_area_km2_n,admin2_area_km2_mean,admin2_area_km2_median,admin2_area_km2_q25,admin2_area_km2_q75,admin2_coastline_km_per_1000km2_n,admin2_coastline_km_per_1000km2_mean,admin2_coastline_km_per_1000km2_median,admin2_coastline_km_per_1000km2_q25,admin2_coastline_km_per_1000km2_q75,admin2_river_km_per_1000km2_n,admin2_river_km_per_1000km2_mean,admin2_river_km_per_1000km2_median,admin2_river_km_per_1000km2_q25,admin2_river_km_per_1000km2_q75,admin2_lake_area_pct_n,admin2_lake_area_pct_mean,admin2_lake_area_pct_median,admin2_lake_area_pct_q25,admin2_lake_area_pct_q75
その他,Other,762,326,762,337.462,212.041,96.711,495.851,762,28.815,0.0,0.0,43.986,762,899.039,870.94,728.419,1013.985,762,0.002,0.0,0.0,0.0
キツネ,Kitsune,108,76,108,342.565,270.313,101.595,543.084,108,18.467,0.0,0.0,22.097,108,922.146,913.295,778.319,1082.708,108,0.0,0.0,0.0,0.0
ヘビ・リュウ,Snake/Dragon,80,66,80,273.511,204.383,92.881,334.679,80,32.746,0.0,0.0,60.485,80,946.538,927.621,807.763,1119.826,80,0.039,0.0,0.0,0.0
ユウレイ,Yurei,56,48,56,327.56,218.443,111.929,407.33,56,48.353,25.443,0.0,78.769,56,872.87,856.456,660.534,963.386,56,0.0,0.0,0.0,0.0
カッパ,Kappa,48,35,48,255.767,158.185,109.39,306.592,48,21.849,4.904,0.0,23.693,48,875.475,925.325,701.35,1029.8,48,0.0,0.0,0.0,0.0
タヌキ,Tanuki,54,26,54,451.542,418.483,154.796,761.091,54,36.643,14.866,0.0,83.026,54,947.587,927.297,870.671,976.676,54,0.017,0.0,0.0,0.0
テング,Tengu,46,37,46,293.565,238.053,100.986,421.809,46,15.007,0.0,0.0,17.6,46,1003.377,950.054,850.231,1147.571,46,0.0,0.0,0.0,0.0
オニ,Oni,37,30,37,398.66,272.315,136.811,733.228,37,27.802,0.0,0.0,17.711,37,1040.51,1000.944,785.287,1203.388,37,0.025,0.0,0.0,0.0
ヤマノカミ,Yama-no-kami,14,14,14,257.146,153.863,98.517,251.794,14,28.525,0.0,0.0,19.832,14,965.213,864.305,784.99,963.868,14,0.0,0.0,0.0,0.0
イヌガミ,Inugami,10,7,10,401.857,259.874,198.15,698.504,10,17.304,0.0,0.0,3.656,10,1008.3,970.547,870.94,1021.895,10,0.0,0.0,0.0,0.0
ネコ,Neko,9,9,9,252.15,119.278,65.532,390.366,9,13.162,0.0,0.0,14.884,9,825.988,926.976,870.94,953.258,9,0.0,0.0,0.0,0.0
ヒノタマ,Hitodama,7,6,7,199.025,188.097,127.596,216.62,7,100.14,90.098,35.333,171.497,7,795.756,859.757,559.946,956.126,7,0.0,0.0,0.0,0.0
