major_category,label,coast_n,coast_mean,coast_median,coast_q25,coast_q75,water_n,water_mean,water_median,water_q25,water_q75
その他,Other,19084,21.401,8.098,2.822,43.792,19084,0.525,0.389,0.159,0.759
キツネ,Kitsune,3618,29.008,15.763,4.715,51.74,3618,0.473,0.322,0.121,0.72
ヘビ・リュウ,Snake/Dragon,2335,23.698,9.858,3.456,43.792,2335,0.504,0.346,0.159,0.72
ユウレイ,Yurei,1641,23.554,8.455,3.341,51.74,1641,0.462,0.334,0.121,0.717
カッパ,Kappa,1412,18.698,7.094,2.178,35.777,1412,0.57,0.618,0.192,0.897
タヌキ,Tanuki,1268,19.072,6.705,2.822,35.777,1268,0.486,0.338,0.144,0.717
テング,Tengu,1224,25.292,8.304,3.702,48.255,1224,0.478,0.346,0.121,0.708
オニ,Oni,807,21.929,8.304,2.822,43.792,807,0.51,0.347,0.159,0.759
ヤマノカミ,Yama-no-kami,722,23.735,10.011,3.702,43.792,722,0.53,0.389,0.121,0.72
イヌガミ,Inugami,552,20.207,7.431,3.822,35.777,552,0.493,0.389,0.121,0.717
ネコ,Neko,466,20.457,8.098,3.341,38.579,466,0.53,0.389,0.159,0.779
ヒノタマ,Hitodama,249,22.032,8.731,3.341,43.792,249,0.49,0.347,0.121,0.717
