major_category,label,kyoto_n,kyoto_mean,kyoto_median,kyoto_q25,kyoto_q75
その他,Other,19084,369.298,335.03,173.918,519.487
キツネ,Kitsune,3618,343.289,283.987,191.701,519.487
ヘビ・リュウ,Snake/Dragon,2335,323.117,283.987,123.507,433.559
ユウレイ,Yurei,1641,354.608,283.987,239.374,448.347
カッパ,Kappa,1412,429.88,433.559,283.987,581.862
タヌキ,Tanuki,1268,276.589,283.987,152.614,410.216
テング,Tengu,1224,269.034,264.928,152.614,364.613
オニ,Oni,807,315.235,283.987,103.515,514.761
ヤマノカミ,Yama-no-kami,722,371.043,335.03,239.374,524.958
イヌガミ,Inugami,552,269.309,261.095,152.614,335.03
ネコ,Neko,466,379.178,364.579,239.374,530.042
ヒノタマ,Hitodama,249,371.731,335.03,239.374,519.487
