major_category,label,category_n,feature,observed,observed_share,expected,expected_share,lift,z_score,empirical_p
その他,Other,19084,hydrology,3497,0.18324,3945.194,0.20673,0.88639,-12.185,0.002
その他,Other,19084,mobility,3101,0.16249,3242.3,0.1699,0.95642,-4.3299,0.002
その他,Other,19084,boundary,3838,0.20111,3539.21,0.18545,1.08442,9.1159,0.002
その他,Other,19084,livelihood,3612,0.18927,3703.852,0.19408,0.9752,-2.6,0.00599
その他,Other,19084,dwelling,4873,0.25534,4750.984,0.24895,1.02568,3.0832,0.002
その他,Other,19084,death_ritual,2692,0.14106,2831.992,0.1484,0.95057,-4.5766,0.002
その他,Other,19084,taboo_time_weather,4061,0.2128,4116.73,0.21572,0.98646,-1.4957,0.07385
その他,Other,19084,actors,5044,0.26431,5264.362,0.27585,0.95814,-5.6763,0.002
その他,Other,19084,actions,2114,0.11077,2043.16,0.10706,1.03467,2.6265,0.01397
その他,Other,19084,strict_boundary_interface,4942,0.25896,5184.072,0.27164,0.9533,-5.9578,0.002
キツネ,Kitsune,3618,hydrology,447,0.12355,777.896,0.21501,0.57463,-14.8859,0.002
キツネ,Kitsune,3618,mobility,759,0.20978,585.572,0.16185,1.29617,8.2212,0.002
キツネ,Kitsune,3618,boundary,375,0.10365,679.006,0.18767,0.55228,-14.1962,0.002
キツネ,Kitsune,3618,livelihood,865,0.23908,701.852,0.19399,1.23245,7.3746,0.002
キツネ,Kitsune,3618,dwelling,871,0.24074,911.546,0.25195,0.95552,-1.729,0.05589
キツネ,Kitsune,3618,death_ritual,193,0.05334,516.028,0.14263,0.37401,-17.1699,0.002
キツネ,Kitsune,3618,taboo_time_weather,717,0.19818,752.076,0.20787,0.95336,-1.4936,0.07385
キツネ,Kitsune,3618,actors,878,0.24268,966.81,0.26722,0.90814,-3.5343,0.00399
キツネ,Kitsune,3618,actions,310,0.08568,427.176,0.11807,0.7257,-6.545,0.002
キツネ,Kitsune,3618,strict_boundary_interface,737,0.2037,978.496,0.27045,0.7532,-9.9216,0.002
ヘビ・リュウ,Snake/Dragon,2335,hydrology,1090,0.46681,488.346,0.20914,2.23202,32.0974,0.002
ヘビ・リュウ,Snake/Dragon,2335,mobility,359,0.15375,383.95,0.16443,0.93502,-1.4525,0.08583
ヘビ・リュウ,Snake/Dragon,2335,boundary,551,0.23597,446.788,0.19134,1.23325,5.7828,0.002
ヘビ・リュウ,Snake/Dragon,2335,livelihood,450,0.19272,446.704,0.19131,1.00738,0.1778,0.43912
ヘビ・リュウ,Snake/Dragon,2335,dwelling,548,0.23469,573.586,0.24565,0.95539,-1.2763,0.1018
ヘビ・リュウ,Snake/Dragon,2335,death_ritual,219,0.09379,334.638,0.14331,0.65444,-7.3029,0.002
ヘビ・リュウ,Snake/Dragon,2335,taboo_time_weather,609,0.26081,503.014,0.21542,1.2107,5.4966,0.002
ヘビ・リュウ,Snake/Dragon,2335,actors,949,0.40642,638.166,0.2733,1.48707,15.1005,0.002
ヘビ・リュウ,Snake/Dragon,2335,actions,158,0.06767,244.206,0.10459,0.64699,-6.401,0.002
ヘビ・リュウ,Snake/Dragon,2335,strict_boundary_interface,930,0.39829,632.58,0.27091,1.47017,14.9051,0.002
ユウレイ,Yurei,1641,hydrology,185,0.11274,336.074,0.2048,0.55047,-9.9842,0.002
ユウレイ,Yurei,1641,mobility,358,0.21816,280.006,0.17063,1.27854,5.0141,0.002
ユウレイ,Yurei,1641,boundary,404,0.24619,294.956,0.17974,1.3697,7.4,0.002
ユウレイ,Yurei,1641,livelihood,183,0.11152,296.596,0.18074,0.617,-7.2917,0.002
ユウレイ,Yurei,1641,dwelling,455,0.27727,399.65,0.24354,1.1385,3.182,0.002
ユウレイ,Yurei,1641,death_ritual,1233,0.75137,264.858,0.1614,4.65532,70.3474,0.002
ユウレイ,Yurei,1641,taboo_time_weather,356,0.21694,345.522,0.21056,1.03033,0.6444,0.2994
ユウレイ,Yurei,1641,actors,469,0.2858,431.528,0.26297,1.08684,2.1435,0.02395
ユウレイ,Yurei,1641,actions,415,0.25289,213.106,0.12986,1.94739,15.6585,0.002
ユウレイ,Yurei,1641,strict_boundary_interface,571,0.34796,439.638,0.26791,1.2988,7.764,0.002
カッパ,Kappa,1412,hydrology,1101,0.77975,326.51,0.23124,3.37203,52.7422,0.002
カッパ,Kappa,1412,mobility,160,0.11331,239.314,0.16949,0.66858,-6.0791,0.002
カッパ,Kappa,1412,boundary,162,0.11473,233.676,0.16549,0.69327,-5.5054,0.002
カッパ,Kappa,1412,livelihood,398,0.28187,270.562,0.19162,1.47101,8.8229,0.002
カッパ,Kappa,1412,dwelling,247,0.17493,335.916,0.2379,0.7353,-5.8496,0.002
カッパ,Kappa,1412,death_ritual,109,0.0772,208.17,0.14743,0.52361,-7.9014,0.002
カッパ,Kappa,1412,taboo_time_weather,182,0.1289,296.018,0.20964,0.61483,-7.5468,0.002
カッパ,Kappa,1412,actors,410,0.29037,377.882,0.26762,1.08499,2.0691,0.02196
カッパ,Kappa,1412,actions,127,0.08994,156.334,0.11072,0.81236,-2.7316,0.00599
カッパ,Kappa,1412,strict_boundary_interface,591,0.41856,385.258,0.27285,1.53404,13.6089,0.002
タヌキ,Tanuki,1268,hydrology,153,0.12066,257.336,0.20295,0.59455,-7.6588,0.002
タヌキ,Tanuki,1268,mobility,294,0.23186,218.154,0.17205,1.34767,6.043,0.002
タヌキ,Tanuki,1268,boundary,196,0.15457,244.984,0.19321,0.80005,-3.6426,0.002
タヌキ,Tanuki,1268,livelihood,186,0.14669,234.66,0.18506,0.79264,-3.6861,0.002
タヌキ,Tanuki,1268,dwelling,309,0.24369,312.904,0.24677,0.98752,-0.2573,0.3992
タヌキ,Tanuki,1268,death_ritual,73,0.05757,186.262,0.14689,0.39192,-8.759,0.002
タヌキ,Tanuki,1268,taboo_time_weather,341,0.26893,278.8,0.21987,1.2231,4.059,0.002
タヌキ,Tanuki,1268,actors,355,0.27997,342.328,0.26997,1.03702,0.8103,0.22156
タヌキ,Tanuki,1268,actions,178,0.14038,137.512,0.10845,1.29443,3.8349,0.002
タヌキ,Tanuki,1268,strict_boundary_interface,296,0.23344,343.832,0.27116,0.86089,-3.0583,0.002
テング,Tengu,1224,hydrology,157,0.12827,252.664,0.20642,0.62138,-6.8686,0.002
テング,Tengu,1224,mobility,135,0.11029,197.028,0.16097,0.68518,-5.0222,0.002
テング,Tengu,1224,boundary,181,0.14788,232.476,0.18993,0.77857,-3.8202,0.002
テング,Tengu,1224,livelihood,181,0.14788,224.672,0.18356,0.80562,-3.1952,0.002
テング,Tengu,1224,dwelling,207,0.16912,291.92,0.2385,0.7091,-6.1656,0.002
テング,Tengu,1224,death_ritual,35,0.02859,172.834,0.1412,0.20251,-11.5496,0.002
テング,Tengu,1224,taboo_time_weather,266,0.21732,261.246,0.21344,1.0182,0.3227,0.38523
テング,Tengu,1224,actors,307,0.25082,324.978,0.2655,0.94468,-1.2287,0.10978
テング,Tengu,1224,actions,124,0.10131,130.274,0.10643,0.95184,-0.5923,0.30339
テング,Tengu,1224,strict_boundary_interface,269,0.21977,325.75,0.26614,0.82579,-3.7061,0.002
オニ,Oni,807,hydrology,127,0.15737,168.486,0.20878,0.75377,-3.6905,0.002
オニ,Oni,807,mobility,195,0.24164,135.32,0.16768,1.44103,5.8286,0.002
オニ,Oni,807,boundary,179,0.22181,153.316,0.18998,1.16752,2.4958,0.01597
オニ,Oni,807,livelihood,172,0.21314,155.446,0.19262,1.10649,1.5423,0.05788
オニ,Oni,807,dwelling,236,0.29244,197.808,0.24512,1.19308,3.1739,0.002
オニ,Oni,807,death_ritual,87,0.10781,117.468,0.14556,0.74063,-3.112,0.00399
オニ,Oni,807,taboo_time_weather,172,0.21314,174.216,0.21588,0.98728,-0.2013,0.42515
オニ,Oni,807,actors,239,0.29616,219.43,0.27191,1.08919,1.5637,0.06986
オニ,Oni,807,actions,65,0.08055,84.344,0.10452,0.77065,-2.2445,0.00998
オニ,Oni,807,strict_boundary_interface,250,0.30979,220.054,0.27268,1.13608,2.4553,0.01397
ヤマノカミ,Yama-no-kami,722,hydrology,93,0.12881,160.33,0.22206,0.58005,-6.0944,0.002
ヤマノカミ,Yama-no-kami,722,mobility,51,0.07064,115.59,0.1601,0.44121,-6.6515,0.002
ヤマノカミ,Yama-no-kami,722,boundary,93,0.12881,128.208,0.17757,0.72538,-3.4025,0.002
ヤマノカミ,Yama-no-kami,722,livelihood,213,0.29501,141.046,0.19535,1.51015,7.2192,0.002
ヤマノカミ,Yama-no-kami,722,dwelling,121,0.16759,173.96,0.24094,0.69556,-4.6724,0.002
ヤマノカミ,Yama-no-kami,722,death_ritual,20,0.0277,98.954,0.13706,0.20211,-8.2616,0.002
ヤマノカミ,Yama-no-kami,722,taboo_time_weather,155,0.21468,153.228,0.21223,1.01156,0.1733,0.43713
ヤマノカミ,Yama-no-kami,722,actors,205,0.28393,195.626,0.27095,1.04792,0.815,0.23752
ヤマノカミ,Yama-no-kami,722,actions,35,0.04848,73.744,0.10214,0.47461,-4.9106,0.002
ヤマノカミ,Yama-no-kami,722,strict_boundary_interface,155,0.21468,192.358,0.26642,0.80579,-3.4488,0.00399
イヌガミ,Inugami,552,hydrology,39,0.07065,111.472,0.20194,0.34986,-8.2775,0.002
イヌガミ,Inugami,552,mobility,112,0.2029,91.96,0.16659,1.21792,2.2648,0.01796
イヌガミ,Inugami,552,boundary,64,0.11594,99.556,0.18036,0.64285,-4.1728,0.002
イヌガミ,Inugami,552,livelihood,82,0.14855,102.506,0.1857,0.79995,-2.2737,0.01397
イヌガミ,Inugami,552,dwelling,202,0.36594,134.904,0.24439,1.49736,6.4492,0.002
イヌガミ,Inugami,552,death_ritual,47,0.08514,80.322,0.14551,0.58514,-4.1033,0.002
イヌガミ,Inugami,552,taboo_time_weather,97,0.17572,117.554,0.21296,0.82515,-2.2643,0.01198
イヌガミ,Inugami,552,actors,111,0.20109,144.552,0.26187,0.76789,-3.3969,0.002
イヌガミ,Inugami,552,actions,29,0.05254,59.306,0.10744,0.48899,-4.4711,0.002
イヌガミ,Inugami,552,strict_boundary_interface,125,0.22645,148.128,0.26835,0.84386,-2.2696,0.01198
ネコ,Neko,466,hydrology,52,0.11159,99.984,0.21456,0.52008,-5.6126,0.002
ネコ,Neko,466,mobility,54,0.11588,80.014,0.1717,0.67488,-3.3617,0.00399
