major_category,label,n,n_hydrology,pct_hydrology,n_mobility,pct_mobility,n_boundary,pct_boundary,n_livelihood,pct_livelihood,n_dwelling,pct_dwelling,n_death_ritual,pct_death_ritual,n_taboo_time_weather,pct_taboo_time_weather,n_actors,pct_actors,n_actions,pct_actions,n_boundary_interface,pct_boundary_interface
その他,Other,19084,3497,0.18324,3101,0.16249,3838,0.20111,3612,0.18927,4873,0.25534,2692,0.14106,4061,0.2128,5044,0.26431,2114,0.11077,4942,0.25896
キツネ,Kitsune,3618,447,0.12355,759,0.20978,375,0.10365,865,0.23908,871,0.24074,193,0.05334,717,0.19818,878,0.24268,310,0.08568,737,0.2037
ヘビ・リュウ,Snake/Dragon,2335,1090,0.46681,359,0.15375,551,0.23597,450,0.19272,548,0.23469,219,0.09379,609,0.26081,949,0.40642,158,0.06767,930,0.39829
ユウレイ,Yurei,1641,185,0.11274,358,0.21816,404,0.24619,183,0.11152,455,0.27727,1233,0.75137,356,0.21694,469,0.2858,415,0.25289,571,0.34796
カッパ,Kappa,1412,1101,0.77975,160,0.11331,162,0.11473,398,0.28187,247,0.17493,109,0.0772,182,0.1289,410,0.29037,127,0.08994,591,0.41856
タヌキ,Tanuki,1268,153,0.12066,294,0.23186,196,0.15457,186,0.14669,309,0.24369,73,0.05757,341,0.26893,355,0.27997,178,0.14038,296,0.23344
テング,Tengu,1224,157,0.12827,135,0.11029,181,0.14788,181,0.14788,207,0.16912,35,0.02859,266,0.21732,307,0.25082,124,0.10131,269,0.21977
オニ,Oni,807,127,0.15737,195,0.24164,179,0.22181,172,0.21314,236,0.29244,87,0.10781,172,0.21314,239,0.29616,65,0.08055,250,0.30979
ヤマノカミ,Yama-no-kami,722,93,0.12881,51,0.07064,93,0.12881,213,0.29501,121,0.16759,20,0.0277,155,0.21468,205,0.28393,35,0.04848,155,0.21468
イヌガミ,Inugami,552,39,0.07065,112,0.2029,64,0.11594,82,0.14855,202,0.36594,47,0.08514,97,0.17572,111,0.20109,29,0.05254,125,0.22645
ネコ,Neko,466,52,0.11159,54,0.11588,84,0.18026,52,0.11159,137,0.29399,156,0.33476,117,0.25107,98,0.2103,42,0.09013,115,0.24678
ヒノタマ,Hitodama,249,35,0.14056,34,0.13655,58,0.23293,25,0.1004,58,0.23293,53,0.21285,80,0.32129,37,0.14859,48,0.19277,66,0.26506
