major_category,label,n,prefecture_count,pref_area_km2_n,pref_area_km2_mean,pref_area_km2_median,pref_area_km2_q25,pref_area_km2_q75,pref_coastline_km_per_1000km2_n,pref_coastline_km_per_1000km2_mean,pref_coastline_km_per_1000km2_median,pref_coastline_km_per_1000km2_q25,pref_coastline_km_per_1000km2_q75,pref_river_km_per_1000km2_n,pref_river_km_per_1000km2_mean,pref_river_km_per_1000km2_median,pref_river_km_per_1000km2_q25,pref_river_km_per_1000km2_q75,pref_lake_area_pct_n,pref_lake_area_pct_mean,pref_lake_area_pct_median,pref_lake_area_pct_q25,pref_lake_area_pct_q75
その他,Other,19084,47,19084,7559.833,6460.149,4307.405,9659.326,19084,23.478,15.58,1.956,23.953,19084,908.19,907.645,848.778,983.962,19084,0.227,0.0,0.0,0.0
キツネ,Kitsune,3618,47,3618,8431.119,7327.709,4469.998,13584.994,3618,11.88,7.628,0.0,19.014,3618,915.354,907.645,848.778,983.962,3618,0.26,0.0,0.0,0.0
ヘビ・リュウ,Snake/Dragon,2335,47,2335,7368.077,6366.558,4307.405,10625.652,2335,19.249,15.58,1.956,19.879,2335,930.651,925.29,863.567,1002.9,2335,0.296,0.0,0.0,0.0
ユウレイ,Yurei,1641,47,1641,8019.338,7120.379,4469.998,13584.994,1641,24.651,15.58,0.0,30.172,1641,895.521,907.645,833.167,977.309,1641,0.201,0.0,0.0,0.0
カッパ,Kappa,1412,47,1412,8460.656,7827.99,5824.269,9659.326,1412,25.127,19.014,7.067,33.317,1412,881.408,891.008,789.02,932.643,1412,0.187,0.0,0.0,0.0
タヌキ,Tanuki,1268,46,1268,7202.46,5824.269,4162.542,11632.985,1268,19.796,18.159,4.406,19.839,1268,945.911,957.5,884.09,997.02,1268,0.13,0.0,0.0,0.0
テング,Tengu,1224,44,1224,6763.537,5794.495,4276.447,7642.678,1224,14.303,14.435,0.0,19.54,1224,962.421,929.28,871.788,1037.05,1224,0.296,0.0,0.0,0.0
オニ,Oni,807,47,807,7605.905,6460.149,4645.703,10625.652,807,20.617,16.393,4.399,19.92,807,938.911,925.29,868.603,1027.202,807,0.123,0.0,0.0,0.0
ヤマノカミ,Yama-no-kami,722,46,722,8010.06,7327.709,4673.832,10625.652,722,17.988,14.435,1.956,21.227,722,919.208,909.194,868.603,982.941,722,0.137,0.0,0.0,0.0
イヌガミ,Inugami,552,42,552,6698.455,6222.66,4469.998,7642.678,552,17.765,18.159,0.0,23.752,552,960.557,945.208,884.09,997.02,552,0.209,0.0,0.0,0.0
ネコ,Neko,466,46,466,7151.94,6784.485,4276.447,9354.222,466,19.254,15.58,6.019,21.227,466,902.396,884.09,848.778,982.941,466,0.106,0.0,0.0,0.0
ヒノタマ,Hitodama,249,45,249,7591.395,6460.149,4307.405,10625.652,249,24.51,14.435,0.0,30.172,249,892.193,907.645,821.322,982.941,249,0.199,0.0,0.0,0.0
