major_category,label,terrain,observed,expected,standardized_residual
その他,Other,coastal,10485,10146.916,3.3563
その他,Other,plain,2744,2758.141,-0.2693
その他,Other,valley,3718,4116.056,-6.2045
その他,Other,inland_water,2137,2062.888,1.6317
キツネ,Kitsune,coastal,1429,1923.682,-11.2787
キツネ,Kitsune,plain,589,522.896,2.8908
キツネ,Kitsune,valley,1220,780.334,15.7392
キツネ,Kitsune,inland_water,380,391.088,-0.5607
ヘビ・リュウ,Snake/Dragon,coastal,1181,1241.514,-1.7174
ヘビ・リュウ,Snake/Dragon,plain,365,337.469,1.4987
ヘビ・リュウ,Snake/Dragon,valley,476,503.615,-1.2305
ヘビ・リュウ,Snake/Dragon,inland_water,313,252.402,3.8143
ユウレイ,Yurei,coastal,881,872.516,0.2872
ユウレイ,Yurei,plain,129,237.168,-7.0238
ユウレイ,Yurei,valley,495,353.933,7.4984
ユウレイ,Yurei,inland_water,136,177.384,-3.1073
カッパ,Kappa,coastal,823,750.757,2.6366
カッパ,Kappa,plain,234,204.071,2.0951
カッパ,Kappa,valley,259,304.542,-2.6097
カッパ,Kappa,inland_water,96,152.63,-4.5838
タヌキ,Tanuki,coastal,793,674.192,4.5756
タヌキ,Tanuki,plain,148,183.259,-2.6046
タヌキ,Tanuki,valley,206,273.483,-4.0807
タヌキ,Tanuki,inland_water,121,137.065,-1.3722
テング,Tengu,coastal,631,650.798,-0.7761
テング,Tengu,plain,197,176.9,1.5112
テング,Tengu,valley,291,263.994,1.6622
テング,Tengu,inland_water,105,132.308,-2.3741
オニ,Oni,coastal,435,429.08,0.2858
オニ,Oni,plain,101,116.633,-1.4475
オニ,Oni,valley,138,174.055,-2.7329
オニ,Oni,inland_water,133,87.233,4.9002
ヤマノカミ,Yama-no-kami,coastal,361,383.886,-1.1681
ヤマノカミ,Yama-no-kami,plain,130,104.348,2.5112
ヤマノカミ,Yama-no-kami,valley,167,155.722,0.9038
ヤマノカミ,Yama-no-kami,inland_water,64,78.045,-1.5898
イヌガミ,Inugami,coastal,340,293.497,2.7144
イヌガミ,Inugami,plain,72,79.779,-0.8709
イヌガミ,Inugami,valley,97,119.056,-2.0214
イヌガミ,Inugami,inland_water,43,59.669,-2.1579
ネコ,Neko,coastal,260,247.771,0.7769
ネコ,Neko,plain,80,67.349,1.5415
ネコ,Neko,valley,76,100.507,-2.4445
ネコ,Neko,inland_water,50,50.372,-0.0525
ヒノタマ,Hitodama,coastal,128,132.393,-0.3818
ヒノタマ,Hitodama,plain,35,35.987,-0.1645
ヒノタマ,Hitodama,valley,56,53.705,0.3132
ヒノタマ,Hitodama,inland_water,30,26.916,0.5945
