major_category,label,n,n_coastal,pct_coastal,n_plain,pct_plain,n_valley,pct_valley,n_mountain,pct_mountain,n_inland_water,pct_inland_water,n_unknown,pct_unknown
その他,Other,19084,10485,0.5494,2744,0.1438,3718,0.1948,0,0.0,2137,0.112,0,0.0
キツネ,Kitsune,3618,1429,0.395,589,0.1628,1220,0.3372,0,0.0,380,0.105,0,0.0
ヘビ・リュウ,Snake/Dragon,2335,1181,0.5058,365,0.1563,476,0.2039,0,0.0,313,0.134,0,0.0
ユウレイ,Yurei,1641,881,0.5369,129,0.0786,495,0.3016,0,0.0,136,0.0829,0,0.0
カッパ,Kappa,1412,823,0.5829,234,0.1657,259,0.1834,0,0.0,96,0.068,0,0.0
タヌキ,Tanuki,1268,793,0.6254,148,0.1167,206,0.1625,0,0.0,121,0.0954,0,0.0
テング,Tengu,1224,631,0.5155,197,0.1609,291,0.2377,0,0.0,105,0.0858,0,0.0
オニ,Oni,807,435,0.539,101,0.1252,138,0.171,0,0.0,133,0.1648,0,0.0
ヤマノカミ,Yama-no-kami,722,361,0.5,130,0.1801,167,0.2313,0,0.0,64,0.0886,0,0.0
イヌガミ,Inugami,552,340,0.6159,72,0.1304,97,0.1757,0,0.0,43,0.0779,0,0.0
ネコ,Neko,466,260,0.5579,80,0.1717,76,0.1631,0,0.0,50,0.1073,0,0.0
ヒノタマ,Hitodama,249,128,0.5141,35,0.1406,56,0.2249,0,0.0,30,0.1205,0,0.0
