major_category,label,terrain,observed,expected,standardized_residual
その他,Other,coastal,8302,7695.807,6.9101
その他,Other,plain,1437,1336.189,2.7579
その他,Other,valley,2216,2279.583,-1.3317
その他,Other,mountain,4577,5234.978,-9.094
その他,Other,inland_water,2552,2537.444,0.289
キツネ,Kitsune,coastal,1122,1458.993,-8.8226
キツネ,Kitsune,plain,361,253.319,6.7656
キツネ,Kitsune,valley,798,432.17,17.5976
キツネ,Kitsune,mountain,913,992.462,-2.5223
キツネ,Kitsune,inland_water,424,481.056,-2.6014
ヘビ・リュウ,Snake/Dragon,coastal,844,941.611,-3.181
ヘビ・リュウ,Snake/Dragon,plain,126,163.488,-2.9319
ヘビ・リュウ,Snake/Dragon,valley,143,278.916,-8.1383
ヘビ・リュウ,Snake/Dragon,mountain,750,640.52,4.3258
ヘビ・リュウ,Snake/Dragon,inland_water,472,310.466,9.1676
ユウレイ,Yurei,coastal,770,661.749,4.2081
ユウレイ,Yurei,plain,66,114.897,-4.5617
ユウレイ,Yurei,valley,407,196.017,15.0695
ユウレイ,Yurei,mountain,226,450.147,-10.5647
ユウレイ,Yurei,inland_water,172,218.19,-3.127
カッパ,Kappa,coastal,679,569.403,4.5929
カッパ,Kappa,plain,23,98.863,-7.6298
カッパ,Kappa,valley,37,168.663,-10.1381
カッパ,Kappa,mountain,224,387.329,-8.299
カッパ,Kappa,inland_water,449,187.742,19.0673
タヌキ,Tanuki,coastal,552,511.333,1.7984
タヌキ,Tanuki,plain,87,88.781,-0.189
タヌキ,Tanuki,valley,109,151.463,-3.4503
タヌキ,Tanuki,mountain,410,347.828,3.3336
タヌキ,Tanuki,inland_water,110,168.596,-4.5128
テング,Tengu,coastal,310,493.59,-8.2635
テング,Tengu,plain,73,85.7,-1.3719
テング,Tengu,valley,78,146.207,-5.6408
テング,Tengu,mountain,699,335.758,19.8236
テング,Tengu,inland_water,64,162.745,-7.7404
オニ,Oni,coastal,327,325.431,0.087
オニ,Oni,plain,52,56.503,-0.5991
オニ,Oni,valley,67,96.396,-2.9941
オニ,Oni,mountain,278,221.37,3.8062
オニ,Oni,inland_water,83,107.3,-2.3459
ヤマノカミ,Yama-no-kami,coastal,8,291.153,-16.5944
ヤマノカミ,Yama-no-kami,plain,15,50.552,-5.0003
ヤマノカミ,Yama-no-kami,valley,1,86.243,-9.179
ヤマノカミ,Yama-no-kami,mountain,695,198.054,35.3117
ヤマノカミ,Yama-no-kami,inland_water,3,95.998,-9.4917
イヌガミ,Inugami,coastal,223,222.599,0.0269
イヌガミ,Inugami,plain,24,38.649,-2.3563
イヌガミ,Inugami,valley,38,65.936,-3.4404
イヌガミ,Inugami,mountain,232,151.42,6.5484
イヌガミ,Inugami,inland_water,35,73.395,-4.4817
ネコ,Neko,coastal,218,187.919,2.1944
ネコ,Neko,plain,50,32.628,3.0414
ネコ,Neko,valley,57,55.664,0.1791
ネコ,Neko,mountain,95,127.83,-2.9037
ネコ,Neko,inland_water,46,61.96,-2.0276
ヒノタマ,Hitodama,coastal,105,100.412,0.4579
ヒノタマ,Hitodama,plain,23,17.434,1.333
ヒノタマ,Hitodama,valley,36,29.743,1.1473
ヒノタマ,Hitodama,mountain,57,68.304,-1.3677
ヒノタマ,Hitodama,inland_water,28,33.107,-0.8877
