major_category,label,n,n_coastal,pct_coastal,n_plain,pct_plain,n_valley,pct_valley,n_mountain,pct_mountain,n_inland_water,pct_inland_water,n_unknown,pct_unknown
その他,Other,19084,8302,0.435,1437,0.0753,2216,0.1161,4577,0.2398,2552,0.1337,0,0.0
キツネ,Kitsune,3618,1122,0.3101,361,0.0998,798,0.2206,913,0.2523,424,0.1172,0,0.0
ヘビ・リュウ,Snake/Dragon,2335,844,0.3615,126,0.054,143,0.0612,750,0.3212,472,0.2021,0,0.0
ユウレイ,Yurei,1641,770,0.4692,66,0.0402,407,0.248,226,0.1377,172,0.1048,0,0.0
カッパ,Kappa,1412,679,0.4809,23,0.0163,37,0.0262,224,0.1586,449,0.318,0,0.0
タヌキ,Tanuki,1268,552,0.4353,87,0.0686,109,0.086,410,0.3233,110,0.0868,0,0.0
テング,Tengu,1224,310,0.2533,73,0.0596,78,0.0637,699,0.5711,64,0.0523,0,0.0
オニ,Oni,807,327,0.4052,52,0.0644,67,0.083,278,0.3445,83,0.1029,0,0.0
ヤマノカミ,Yama-no-kami,722,8,0.0111,15,0.0208,1,0.0014,695,0.9626,3,0.0042,0,0.0
イヌガミ,Inugami,552,223,0.404,24,0.0435,38,0.0688,232,0.4203,35,0.0634,0,0.0
ネコ,Neko,466,218,0.4678,50,0.1073,57,0.1223,95,0.2039,46,0.0987,0,0.0
ヒノタマ,Hitodama,249,105,0.4217,23,0.0924,36,0.1446,57,0.2289,28,0.1124,0,0.0
