prefecture,n,centroid_lng,centroid_lat,centroid_terrain_class,dist_coast_km,dist_water_km,geo_level_mode,n_coastal,pct_coastal,n_plain,pct_plain,n_valley,pct_valley,n_mountain,pct_mountain,n_inland_water,pct_inland_water
長野県,2882,138.18111,36.65139,valley,51.74,0.121,prefecture,0,0.0,0,0.0,2858,0.9917,0,0.0,24,0.0083
新潟県,1698,139.02361,37.90222,coastal,2.178,0.334,prefecture,1689,0.9947,5,0.0029,0,0.0,0,0.0,4,0.0024
福島県,1460,140.46778,37.75,inland_water,43.792,0.112,prefecture,1,0.0007,4,0.0027,12,0.0082,0,0.0,1443,0.9884
宮城県,1341,140.87194,38.26889,plain,12.244,0.929,prefecture,14,0.0104,1284,0.9575,0,0.0,0,0.0,43,0.0321
愛媛県,1241,132.76611,33.84167,coastal,6.315,0.717,prefecture,1239,0.9984,0,0.0,0,0.0,0,0.0,2,0.0016
山梨県,1085,138.56833,35.66389,valley,59.395,0.11,prefecture,0,0.0,7,0.0065,1069,0.9853,0,0.0,9,0.0083
静岡県,1036,138.38306,34.97694,coastal,5.119,1.85,prefecture,1005,0.9701,7,0.0068,0,0.0,0,0.0,24,0.0232
東京都,1022,139.69167,35.68944,coastal,7.763,0.759,prefecture,1013,0.9912,2,0.002,0,0.0,0,0.0,7,0.0068
鹿児島県,981,130.55806,31.56028,coastal,0.301,0.913,prefecture,981,1.0,0,0.0,0,0.0,0,0.0,0,0.0
岩手県,939,141.1525,39.70361,valley,70.061,0.257,prefecture,4,0.0043,3,0.0032,924,0.984,0,0.0,8,0.0085
岐阜県,911,136.72222,35.39111,plain,35.777,0.575,prefecture,0,0.0,900,0.9879,5,0.0055,0,0.0,6,0.0066
和歌山県,878,135.1675,34.22611,coastal,2.822,0.708,prefecture,868,0.9886,1,0.0011,0,0.0,0,0.0,9,0.0103
香川県,862,134.04333,34.34028,coastal,1.632,0.779,prefecture,852,0.9884,1,0.0012,0,0.0,0,0.0,9,0.0104
京都府,832,135.75556,35.02139,inland_water,48.255,0.322,prefecture,3,0.0036,5,0.006,0,0.0,0,0.0,824,0.9904
愛知県,758,136.90667,35.18028,plain,10.163,1.099,prefecture,14,0.0185,739,0.9749,0,0.0,0,0.0,5,0.0066
秋田県,752,140.1025,39.71861,coastal,3.702,0.83,prefecture,736,0.9787,13,0.0173,1,0.0013,0,0.0,2,0.0027
群馬県,733,139.06083,36.39111,valley,103.572,0.144,prefecture,0,0.0,0,0.0,733,1.0,0,0.0,0,0.0
岡山県,715,133.935,34.66167,coastal,7.431,0.159,prefecture,661,0.9245,24,0.0336,0,0.0,0,0.0,30,0.042
沖縄県,704,127.68111,26.2125,coastal,1.663,0.294,prefecture,704,1.0,0,0.0,0,0.0,0,0.0,0,0.0
高知県,654,133.53111,33.55972,coastal,8.098,0.389,prefecture,647,0.9893,1,0.0015,0,0.0,0,0.0,6,0.0092
青森県,653,140.74,40.82444,coastal,1.529,1.172,prefecture,646,0.9893,1,0.0015,0,0.0,0,0.0,6,0.0092
神奈川県,645,139.6425,35.44778,coastal,0.641,0.347,prefecture,637,0.9876,0,0.0,0,0.0,0,0.0,8,0.0124
奈良県,633,135.83278,34.68528,inland_water,38.579,0.312,prefecture,0,0.0,0,0.0,0,0.0,0,0.0,633,1.0
