prefecture,n,gadm_name,pref_area_km2,pref_coastline_km,pref_coastline_km_per_1000km2,pref_river_km,pref_river_km_per_1000km2,pref_lake_area_km2,pref_lake_area_pct,river_source,lake_source,coastline_source
長野県,2882,Nagano,13584.994,0.0,0.0,12330.35,907.6449,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
新潟県,1698,Niigata,12683.668,241.167,19.014,12467.291,982.9405,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
福島県,1460,Fukushima,13720.951,26.844,1.9564,11961.753,871.7875,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
宮城県,1341,Miyagi,7211.264,59.098,8.1952,6120.762,848.778,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
愛媛県,1241,Ehime,5824.269,265.915,45.6564,5149.18,884.0903,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
山梨県,1085,Yamanashi,4469.998,0.0,0.0,3912.4,875.2577,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
静岡県,1036,Shizuoka,7642.678,110.322,14.435,7972.026,1043.0933,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
東京都,1022,Tokyo,2161.203,106.109,49.0972,1538.715,711.9715,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
鹿児島県,981,Kagoshima,9354.222,625.112,66.8267,6421.517,686.4833,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
岩手県,939,Iwate,15218.444,116.084,7.6278,11487.106,754.8147,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
岐阜県,911,Gifu,10625.652,0.0,0.0,9831.81,925.29,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
和歌山県,878,Wakayama,4673.832,91.327,19.5401,5308.781,1135.8519,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
香川県,862,Kagawa,1742.385,103.282,59.2762,1668.334,957.5002,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
京都府,832,Kyoto,4645.703,84.359,18.1585,4935.498,1062.3791,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
愛知県,758,Aichi,5159.005,123.572,23.9527,5948.584,1153.0487,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
秋田県,752,Akita,11632.985,82.213,7.0672,10254.224,881.4783,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
群馬県,733,Gunma,6366.558,0.0,0.0,6272.193,985.178,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
岡山県,715,Okayama,7327.709,114.168,15.5803,6327.965,863.5666,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
沖縄県,704,Okinawa,2461.343,375.63,152.6118,1343.768,545.9491,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
高知県,654,Kochi,7120.379,62.285,8.7474,6730.239,945.208,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
青森県,653,Aomori,9659.326,205.038,21.2269,7621.4,789.0199,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
神奈川県,645,Kanagawa,2380.031,41.378,17.3855,2203.711,925.9169,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
奈良県,633,Nara,3696.764,0.0,0.0,3707.485,1002.9001,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
山形県,627,Yamagata,9349.147,41.129,4.3992,8120.699,868.6032,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
茨城県,566,Ibaraki,6096.04,26.859,4.406,3991.107,654.7049,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
徳島県,520,Tokushima,4162.542,78.691,18.9046,4150.139,997.0203,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
大阪府,510,Osaka,1919.949,34.202,17.814,2132.816,1110.8712,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
栃木県,510,Tochigi,6398.514,0.0,0.0,5241.81,819.223,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
三重県,510,Mie,5794.495,152.568,26.3298,6530.39,1126.999,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
埼玉県,480,Saitama,3788.147,0.0,0.0,5179.62,1367.3229,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
島根県,476,Shimane,6784.485,161.143,23.7517,6675.679,983.9625,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
長崎県,471,Naoasaki,4307.405,598.386,138.9203,2888.191,670.5176,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
宮崎県,470,Miyazaki,7827.99,72.162,9.2185,6974.798,891.0075,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
兵庫県,466,Hyōgo,8436.747,138.302,16.3928,8245.308,977.3089,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
千葉県,462,Chiba,5034.586,99.879,19.8386,4013.311,797.1482,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
滋賀県,455,Shiga,4029.427,0.0,0.0,5226.038,1296.968,663.908,16.4765,mlit_w05,natural_earth_10m,natural_earth_10m
富山県,451,Toyama,4276.447,51.023,11.9312,4434.889,1037.0499,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
鳥取県,424,Tottori,3510.345,21.128,6.0188,3519.01,1002.4684,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
石川県,419,Ishikawa,4246.667,136.524,32.1485,3538.184,833.1673,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
山口県,393,Yamaguchi,6222.66,223.33,35.8898,5110.805,821.3216,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
熊本県,384,Kumamoto,7726.249,257.417,33.3172,7205.831,932.6429,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
大分県,338,Oita,6460.149,128.685,19.9198,5873.531,909.1944,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
福井県,335,Fukui,4248.846,68.813,16.1957,3489.36,821.2489,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
広島県,274,Hiroshima,8535.198,158.983,18.6268,6372.281,746.5885,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
福岡県,189,Fukuoka,5116.36,145.966,28.5293,4853.35,948.5943,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
佐賀県,162,Saga,2514.93,75.881,30.1722,2565.432,1020.0809,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
北海道,71,Hokkaido,78020.001,951.354,12.1937,80697.939,1034.3237,0.0,0.0,mlit_w05,natural_earth_10m,natural_earth_10m
