prefecture,n,share
長野県,2882,0.08634
新潟県,1698,0.05087
福島県,1460,0.04374
宮城県,1341,0.04018
愛媛県,1241,0.03718
山梨県,1085,0.03251
静岡県,1036,0.03104
東京都,1022,0.03062
鹿児島県,981,0.02939
岩手県,939,0.02813
岐阜県,911,0.02729
和歌山県,878,0.0263
香川県,862,0.02583
京都府,832,0.02493
愛知県,758,0.02271
秋田県,752,0.02253
群馬県,733,0.02196
岡山県,715,0.02142
沖縄県,704,0.02109
高知県,654,0.01959
青森県,653,0.01956
神奈川県,645,0.01932
奈良県,633,0.01896
山形県,627,0.01878
茨城県,566,0.01696
徳島県,520,0.01558
大阪府,510,0.01528
栃木県,510,0.01528
三重県,510,0.01528
埼玉県,480,0.01438
島根県,476,0.01426
長崎県,471,0.01411
宮崎県,470,0.01408
兵庫県,466,0.01396
千葉県,462,0.01384
滋賀県,455,0.01363
富山県,451,0.01351
鳥取県,424,0.0127
石川県,419,0.01255
山口県,393,0.01177
熊本県,384,0.0115
大分県,338,0.01013
福井県,335,0.01004
広島県,274,0.00821
福岡県,189,0.00566
佐賀県,162,0.00485
北海道,71,0.00213
