condition,replicate,association,major_category,feature,observed,expected,lift,z_score,empirical_p,replicates,z_iqr_low,z_iqr_high
full_dictionary,0,Kappa-Hydrology,カッパ,hydrology,1101,326.51,3.37203,52.7422,0.002,1,52.7422,52.7422
full_dictionary,0,Yurei-Death,ユウレイ,death_ritual,1233,264.858,4.65532,70.3474,0.002,1,70.3474,70.3474
full_dictionary,0,Snake/Dragon-Boundary,ヘビ・リュウ,strict_boundary_interface,930,632.58,1.47017,14.9051,0.002,1,14.9051,14.9051
category_name_masked,0,Kappa-Hydrology,カッパ,hydrology,781,286.256,2.72833,33.6701,0.002,1,33.6701,33.6701
category_name_masked,0,Yurei-Death,ユウレイ,death_ritual,802,224.738,3.5686,45.1498,0.002,1,45.1498,45.1498
category_name_masked,0,Snake/Dragon-Boundary,ヘビ・リュウ,strict_boundary_interface,930,622.532,1.4939,15.3745,0.002,1,15.3745,15.3745
interface_broad,0,Kappa-Hydrology,カッパ,hydrology,1101,326.51,3.37203,52.7422,0.002,1,52.7422,52.7422
interface_broad,0,Yurei-Death,ユウレイ,death_ritual,1233,264.858,4.65532,70.3474,0.002,1,70.3474,70.3474
interface_broad,0,Snake/Dragon-Boundary,ヘビ・リュウ,strict_boundary_interface,1428,1004.168,1.42207,18.6747,0.002,1,18.6747,18.6747
interface_strict,0,Kappa-Hydrology,カッパ,hydrology,1101,326.51,3.37203,52.7422,0.002,1,52.7422,52.7422
interface_strict,0,Yurei-Death,ユウレイ,death_ritual,1233,264.858,4.65532,70.3474,0.002,1,70.3474,70.3474
interface_strict,0,Snake/Dragon-Boundary,ヘビ・リュウ,strict_boundary_interface,930,632.58,1.47017,14.9051,0.002,1,14.9051,14.9051
interface_conservative,0,Kappa-Hydrology,カッパ,hydrology,1101,326.51,3.37203,52.7422,0.002,1,52.7422,52.7422
interface_conservative,0,Yurei-Death,ユウレイ,death_ritual,1233,264.858,4.65532,70.3474,0.002,1,70.3474,70.3474
interface_conservative,0,Snake/Dragon-Boundary,ヘビ・リュウ,strict_boundary_interface,773,580.818,1.33088,9.7911,0.002,1,9.7911,9.7911
drop_10pct,median,Kappa-Hydrology,カッパ,hydrology,1088.0,302.872,3.53615,54.4105,0.002,5,53.6068,56.0336
drop_10pct,median,Yurei-Death,ユウレイ,death_ritual,1216.0,255.866,4.78037,70.745,0.002,5,70.538,70.745
drop_10pct,median,Snake/Dragon-Boundary,ヘビ・リュウ,strict_boundary_interface,849.0,580.006,1.4198,12.7126,0.002,5,8.5482,15.0916
drop_20pct,median,Kappa-Hydrology,カッパ,hydrology,1085.0,286.96,3.44171,54.4105,0.002,5,54.3789,57.2447
drop_20pct,median,Yurei-Death,ユウレイ,death_ritual,1183.0,231.61,4.97215,72.2463,0.002,5,71.3914,72.9567
drop_20pct,median,Snake/Dragon-Boundary,ヘビ・リュウ,strict_boundary_interface,691.0,481.802,1.4342,11.6568,0.002,5,4.7267,14.5461
drop_30pct,median,Kappa-Hydrology,カッパ,hydrology,1085.0,264.4,3.98906,58.614,0.002,5,50.3548,58.9178
drop_30pct,median,Yurei-Death,ユウレイ,death_ritual,413.0,149.068,2.77055,26.023,0.002,5,22.803,26.124
drop_30pct,median,Snake/Dragon-Boundary,ヘビ・リュウ,strict_boundary_interface,696.0,455.146,1.5075,12.8633,0.002,5,8.5421,13.7552
